LED_RED,PA1
USART1_TX,PA9
USART1_RX,PA10
USB_DM,PA11
USB_DP,PA12
LED_GREEN,PA15
SD_SW,PB0
CHARGE_INT,PB1
SPI1_NSS,PB2
SPI1_SCK,PB3
SPI1_MISO,PB4
SPI1_MOSI,PB5
I2C1_SCL,PB6
I2C1_SDA,PB7
LED_BLUE,PB11
I2C3_SCL,PB13
I2C3_SDA,PB14
C4,PC4
SW,PC13
SD_D3,PD0
SD_CK,PD1
SD_D0,PD3
SD_CMD,PD4
CHARGE_DISABLE,PD9
OVERTEMP_N,PE2
HW_REV2,PE3
HW_REV3,PE4
HW_REV0,PH0
HW_REV1,PH1
BOOT0,PH3
P2,PA13
P3,PA14
P4,PB8
P5,PB9
P6,PB10
P7,PB12
P8,PB15
P9,PC6
P10,PC7
P11,PC9
P12,PC12
P13,PD5
P14,PD6
P15,PD7
P16,PH3
P17,PB6
P18,PB7
P23,PE0
P24,PE1
P25,PA11
P26,PA12
P27,PB4
P28,PB5
P29,PB3
P30,PB2
P31,PC0
P32,PC1
P33,PC2
P34,PC3
P35,PA4
P36,PC5
P37,PA3
P38,PA0
P39,PA2
P40,PA5
P41,PA7
P42,PA6
P43,PA8
P44,PC4
P46,PA10
P47,PA9
P49,PD13
P50,PC10
P51,PD10
P52,PD11
P53,PD12
PA13,PA13
PA14,PA14
PB8,PB8
PB9,PB9
PB10,PB10
PB12,PB12
PB15,PB15
PC6,PC6
PC7,PC7
PC9,PC9
PC12,PC12
PD5,PD5
PD6,PD6
PD7,PD7
PH3,PH3
PB6,PB6
PB7,PB7
PE0,PE0
PE1,PE1
PA11,PA11
PA12,PA12
PB4,PB4
PB5,PB5
PB3,PB3
PB2,PB2
PC0,PC0
PC1,PC1
PC2,PC2
PC3,PC3
PA4,PA4
PC5,PC5
PA3,PA3
PA0,PA0
PA2,PA2
PA5,PA5
PA7,PA7
PA6,PA6
PA8,PA8
PC4,PC4
PA10,PA10
PA9,PA9
PD13,PD13
PC10,PC10
PD10,PD10
PD11,PD11
PD12,PD12
